,Time
1004,1.074
1005,3.929
1006,2.054
1007,1.996
1008,0.996
1009,1.995
1010,0.997
1011,1.997
1012,0.999
1013,1.917
1014,1.073
1015,1.993
1016,0.922
1017,2.074
1018,1.988
1019,1.997
1020,1.946
1021,1.968
1022,1.995
1023,2.075
1024,1.989
1025,1.987
1026,1.006
1027,1.996
1028,0.945
1029,1.97
1030,2.074
1031,1.99
1032,2.917
1033,1.021
1034,2.001
1035,1.043
1036,1.919
1037,1.074
1038,1.918
1039,2.07
1040,1.919
1041,1.995
1042,1.995
1043,2.074
1044,1.995
1045,0.997
1046,1.999
1047,1.991
1048,0.996
1049,1.916
1050,1.995
1051,2.07
1052,1.998
1053,3.98
1054,2.947
1055,2.047
1056,1.993
1057,1.919
1058,2.992
1059,2.071
1060,1.943
1061,2.046
1062,1.92
1063,2.991
1064,2.07
1065,0.998
1066,2.992
1067,3.989
1068,2.917
1069,2.07
1070,1.994
1071,0.949
1072,2.99
1073,1.976
1074,2.013
1075,0.983
1076,1.985
1077,1.024
1078,1.968
1079,3.989
1080,1.073
1081,1.995
1082,1.994
1083,2.991
1084,1.996
1085,0.922
1086,2.071
1087,1.993
1088,1.995
1089,0.945
1090,3.966
1091,0.997
1092,2.035
1093,1.973
1094,2.053
1095,2.915
1096,1.074
1097,0.921
1098,2.069
1099,1.996
1100,1.994
1101,2.993
1102,0.922
1103,2.069
1104,0.997
1105,0.923
1106,2.069
1107,0.998
1108,3.058
1109,1.99
1110,1.995
1111,0.994
1112,0.925
1113,2.071
1114,0.996
1115,0.923
1116,1.995
1117,1.07
1118,1.951
1119,1.044
1120,0.921
1121,2.045
1122,1.022
1123,1.943
1124,1.05
1125,1.994
1126,1.994
1127,1.995
1128,1.921
1129,1.993
1130,0.998
1131,1.025
1132,1.966
1133,1.074
1134,0.922
1135,2.07
1136,0.999
1137,0.92
1138,1.994
1139,2.07
1140,1.92
1141,2.07
1142,1.942
1143,1.049
1144,0.923
1145,1.995
1146,2.07
1147,0.996
1148,0.923
1149,2.07
1150,1.001
1151,2.912
1152,1.996
1153,1.994
1154,2.021
1155,1.968
1156,1.074
1157,0.921
1158,2.028
1159,1.04
1160,1.919
1161,4.065
1162,2.94
1163,1.971
1164,1.073
1165,1.918
1166,1.074
1167,0.921
1168,4.013
1169,1.971
1170,1.995
1171,2.0
1172,2.066
1173,1.994
1174,1.995
1175,0.997
1176,1.994
1177,2.917
1178,3.067
1179,2.992
1180,1.995
1181,0.922
1182,1.994
1183,0.998
1184,2.991
1185,2.992
1186,2.032
1187,0.961
1188,2.014
1189,0.978
1190,2.067
1191,1.997
1192,1.995
1193,3.989
1194,1.995
1195,1.995
1196,1.994
1197,1.995
1198,0.997
1199,0.922
1200,2.07
1201,2.941
1202,2.968
1203,0.998
1204,1.998
1205,0.993
1206,2.071
1207,1.994
1208,1.995
1209,0.997
1210,1.994
1211,2.917
1212,2.073
1213,1.94
1214,1.971
1215,1.022
1216,0.973
1217,2.068
1218,0.997
1219,2.993
1220,2.918
1221,1.995
1222,3.989
1223,5.01
1224,4.969
1225,2.99
1226,2.992
1227,3.07
1228,2.992
1229,3.911
1230,5.066
1231,2.992
1232,1.996
1233,2.923
1234,2.063
1235,2.989
1236,1.951
1237,0.965
1238,1.994
1239,0.999
1240,2.071
1241,0.995
1242,1.995
1243,1.999
1244,2.914
1245,2.992
1246,2.009
1247,2.058
1248,1.995
1249,1.001
1250,2.91
1251,1.993
1252,3.076
1253,1.919
1254,1.072
1255,1.985
1256,1.0
1257,0.947
1258,2.046
1259,0.921
1260,4.064
1261,5.911
1262,1.993
1263,1.995
1264,0.997
1265,3.989
1266,2.992
1267,2.992
1268,0.998
1269,2.022
1270,0.996
1271,1.995
1272,1.001
1273,1.965
1274,2.021
1275,5.957
1276,1.994
1277,2.025
1278,1.993
1279,0.997
1280,2.991
1281,1.995
1282,3.989
1283,1.0
1284,0.996
1285,1.993
1286,0.998
1287,0.998
1288,1.996
1289,0.996
1290,2.012
1291,2.99
1292,2.968
1293,1.991
1294,0.998
1295,2.0
1296,1.022
1297,2.988
1298,1.995
1299,3.022
1300,4.039
1301,2.992
1302,0.995
1303,2.993
1304,1.944
1305,2.045
1306,0.919
1307,1.994
1308,0.998
1309,2.069
1310,1.0
1311,0.921
1312,2.069
1313,0.999
1314,0.921
1315,2.07
1316,0.922
1317,0.998
1318,2.069
1319,0.998
1320,1.995
1321,0.996
1322,1.996
1323,0.994
1324,2.995
1325,0.997
1326,1.92
1327,0.997
1328,0.998
1329,2.07
1330,0.921
1331,1.996
1332,1.072
1333,0.921
1334,1.994
1335,1.074
1336,1.943
1337,2.05
1338,0.994
1339,2.939
1340,0.974
1341,1.995
1342,0.997
1343,1.995
1344,2.07
1345,0.999
1346,1.994
1347,0.945
1348,2.046
1349,1.995
1350,0.922
1351,1.994
1352,1.995
1353,0.998
1354,0.998
1355,1.995
1356,1.998
1357,0.997
1358,2.073
1359,1.995
1360,0.918
1361,1.994
1362,1.056
1363,2.012
1364,0.997
1365,1.919
1366,2.004
1367,3.007
1368,4.041
1369,1.945
1370,1.97
1371,1.995
1372,0.996
1373,4.065
1374,1.994
1375,3.914
1376,2.071
1377,0.997
1378,0.931
1379,2.061
1380,0.999
1381,1.951
1382,2.037
1383,2.916
1384,3.989
1385,1.994
1386,1.996
1387,1.028
1388,4.034
1389,0.997
1390,2.996
1391,1.995
1392,1.915
1393,0.997
1394,2.018
1395,0.974
1396,0.997
1397,2.07
1398,1.999
1399,2.988
1400,2.941
1401,1.048
1402,0.922
1403,1.994
1404,0.997
1405,1.996
1406,3.989
1407,1.994
1408,3.02
1409,1.997
1410,1.993
1411,1.967
1412,0.997
1413,1.006
1414,3.004
1415,2.002
1416,3.963
1417,0.996
1418,2.074
1419,1.915
1420,0.997
1421,1.026
1422,3.961
1423,1.08
1424,2.989
1425,0.997
1426,1.926
1427,1.066
1428,1.996
1429,0.996
1430,1.994
1431,0.918
1432,1.995
1433,2.994
1434,10.971
1435,7.007
1436,1.0
1437,1.965
1438,0.997
1439,1.995
1440,1.998
1441,5.012
1442,7.977
1443,6.955
1444,5.984
1445,2.992
1446,3.989
1447,1.076
1448,3.942
1449,5.983
1450,3.041
1451,1.915
1452,0.997
1453,2.993
1454,2.999
1455,4.02
1456,2.982
1457,3.96
1458,2.035
1459,2.97
1460,4.003
1461,2.003
1462,1.994
1463,1.995
1464,1.998
1465,0.982
1466,3.962
1467,2.075
1468,2.987
1469,1.999
1470,1.979
1471,0.934
1472,0.997
1473,2.071
1474,0.997
1475,1.998
1476,3.978
1477,3.996
1478,0.998
1479,0.922
1480,2.07
1481,0.996
1482,0.923
1483,3.99
1484,3.071
1485,1.934
1486,1.062
1487,1.941
1488,1.045
1489,1.995
1490,0.993
1491,0.924
1492,3.069
1493,2.988
1494,2.943
1495,0.973
1496,0.997
1497,0.998
1498,1.07
1499,1.0
1500,0.922
1501,2.991
1502,3.069
1503,1.995
1504,0.996
1505,0.922
1506,2.071
1507,0.997
1508,1.995
1509,0.921
1510,2.071
1511,0.996
1512,1.984
1513,2.006
1514,1.994
1515,1.996
1516,0.922
1517,1.994
1518,0.998
1519,0.997
1520,2.071
1521,1.918
1522,1.022
1523,2.046
1524,2.916
1525,1.067
1526,0.928
1527,2.072
1528,0.995
1529,1.999
1530,0.993
1531,1.998
1532,2.989
1533,1.995
1534,1.995
1535,3.988
1536,2.917
1537,3.067
1538,3.914
1539,3.068
1540,1.919
1541,1.995
1542,1.995
1543,2.052
1544,1.954
1545,3.05
1546,2.917
1547,1.995
1548,2.07
1549,0.997
1550,1.919
1551,1.073
1552,1.995
1553,2.916
1554,0.997
1555,1.994
1556,2.023
1557,2.043
1558,1.995
1559,0.922
1560,1.071
1561,1.93
1562,0.988
1563,0.998
1564,1.074
1565,0.922
1566,2.033
1567,0.982
1568,0.974
1569,2.071
1570,0.997
1571,0.921
1572,0.998
1573,2.07
1574,0.945
1575,0.974
1576,1.018
1577,1.974
1578,1.994
1579,1.025
1580,3.041
1581,1.998
1582,2.987
1583,4.991
1584,3.957
1585,0.951
1586,2.069
1587,1.996
1588,1.994
1589,1.994
1590,0.998
1591,1.994
1592,1.919
1593,2.993
1594,1.078
1595,0.917
1596,2.006
1597,2.059
1598,1.995
1599,0.996
1600,1.998
1601,0.919
1602,0.997
1603,2.071
1604,2.991
1605,1.92
1606,3.072
1607,2.987
1608,2.917
1609,2.992
1610,2.073
1611,1.951
1612,1.038
1613,0.998
1614,0.922
1615,4.044
1616,1.016
1617,1.996
1618,1.944
1619,0.973
1620,2.07
1621,0.922
1622,2.02
1623,1.969
1624,2.072
1625,0.92
1626,2.071
1627,0.997
1628,1.918
1629,0.997
1630,1.997
1631,2.025
1632,1.987
1633,0.997
1634,0.974
1635,2.07
1636,0.987
1637,1.94
1638,4.003
1639,4.994
1640,6.977
1641,0.97
1642,0.998
1643,2.077
1644,0.914
1645,2.995
1646,1.998
1647,1.99
1648,2.071
1649,0.92
1650,2.07
1651,2.996
1652,1.917
1653,0.996
1654,2.074
1655,0.918
1656,0.996
1657,2.045
1658,1.023
1659,2.996
1660,2.991
1661,2.913
1662,2.023
1663,4.041
1664,5.981
1665,1.994
1666,3.988
1667,1.944
1668,0.974
1669,2.07
1670,0.998
1671,2.992
1672,4.987
1673,4.91
1674,0.999
1675,2.046
1676,3.019
1677,1.994
1678,1.992
1679,6.98
1680,1.995
1681,1.918
1682,1.073
1683,1.999
1684,1.988
1685,1.998
1686,3.941
1687,1.967
1688,1.996
1689,4.012
1690,1.05
1691,1.995
1692,0.996
1693,2.993
1694,0.921
1695,1.995
1696,1.072
1697,0.923
1698,2.074
1699,0.992
1700,3.99
1701,2.992
1702,2.992
1703,1.919
1704,0.997
1705,0.998
1706,3.068
1707,1.995
1708,1.993
1709,1.995
1710,1.996
1711,0.921
1712,0.998
1713,2.066
1714,1.0
1715,0.999
1716,1.997
1717,1.916
1718,0.998
1719,2.07
1720,1.995
1721,1.918
1722,1.995
1723,0.997
1724,0.997
1725,0.998
1726,1.995
1727,1.002
1728,1.989
1729,0.998
